projectname,classification,commenttext
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// swap rows and columns to match plotArea shape
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ addBrowserListener() method
sql12,WITHOUT_CLASSIFICATION,// have the DataType object fill in the appropriate kind of value // into the first (and only) variable position in the prepared stmt
argouml,WITHOUT_CLASSIFICATION,// Fine!
sql12,WITHOUT_CLASSIFICATION,// i18n[OraclePrefsPanelController.hint=Oracle Plugin preferences]
sql12,WITHOUT_CLASSIFICATION,"/* (non-Javadoc)
     * @see net.sourceforge.squirrel_sql.client.util.IOptionPanel#getHint()
     */"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Already waited
columba-1.4-src,WITHOUT_CLASSIFICATION,"/*
	 * (non-Javadoc)
	 * 
	 * @see javax.swing.ListCellRenderer#getListCellRendererComponent(javax.swing.JList,
	 *      java.lang.Object, int, boolean, boolean)
	 */"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// parent classes to check // are inner classes OK?
jEdit-4.2,WITHOUT_CLASSIFICATION,"// we didn't have a component previously, so // create a border"
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// paint
columba-1.4-src,WITHOUT_CLASSIFICATION,// 2 columns // rows are added dynamically (no need to define them // here)
jEdit-4.2,WITHOUT_CLASSIFICATION,// End instance data
sql12,WITHOUT_CLASSIFICATION,//i18n[UpdateSummaryTable.installOptionsLabel=Install Options]
argouml,WITHOUT_CLASSIFICATION,"//        return ""parsing.java.help.attribute"";"
sql12,WITHOUT_CLASSIFICATION,// special handling of operations while editing this data type
argouml,WITHOUT_CLASSIFICATION,// add a decision but set the critic priority to 0 so isRelevant // should still be false
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// shadowXOffset
argouml,WITHOUT_CLASSIFICATION,"/*
     * Ok, we've been told to scroll because the mouse cursor is in our
     * scroll zone.
     * @see java.awt.dnd.Autoscroll#autoscroll(java.awt.Point)
     */"
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)
     */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ joinLines() method
emf-2.4.1,WITHOUT_CLASSIFICATION,// find uri in current context
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,WITHOUT_CLASSIFICATION,// Use DiagramInterface to add classes to diagram
sql12,WITHOUT_CLASSIFICATION,//To change body of implemented methods use File | Settings | File Templates.
columba-1.4-src,WITHOUT_CLASSIFICATION,// 3 columns // rows are added dynamically (no need to define them here)
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// range markers
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
emf-2.4.1,WITHOUT_CLASSIFICATION,// If eObject1 and eObject2 are the same instance... //
emf-2.4.1,DESIGN,//DMS  Do a better job with specific exceptions? Just use chained RuntimeExceptions?
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// clear results table before filling
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see AbstractAction#actionPerformed(ActionEvent)
     */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
columba-1.4-src,WITHOUT_CLASSIFICATION,// tc.setCellEditor(new CustomTreeTableCellEditor());
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// set the start time for the Thread // Duration is in seconds
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ update() method
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,//we can inner join to superclass tables (the row MUST be there) //we can never inner join to subclass tables
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// labelBackgroundPaint
sql12,WITHOUT_CLASSIFICATION,"/* (non-Javadoc)
	 * @see com.mockobjects.sql.MockDatabaseMetaData#supportsCorrelatedSubqueries()
	 */"
argouml,WITHOUT_CLASSIFICATION,// Assuming the target is some model element.
jEdit-4.2,WITHOUT_CLASSIFICATION,// do not reset the stream and just treat it // like a normal UTF-8 file.
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// nothing is drawn if the row index is not included in the list with // the indices of the visible rows...
argouml,WITHOUT_CLASSIFICATION,//get the associationRole name
columba-1.4-src,WITHOUT_CLASSIFICATION,// create filter
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,"// if the axis is not visible, no additional space is required..."
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// Table still contains one or more rows, so highlight (select) // the appropriate one."
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// we have an input case, prepare branching logic"
argouml,DESIGN,"/*
         * Install the trap to ""eat"" SecurityExceptions.
         *
         * NOTE: This is temporary and will go away in a ""future"" release
         * http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=4714232
         */"
columba-1.4-src,WITHOUT_CLASSIFICATION,// register all extensions
argouml,DESIGN,// TODO: This does not belong here - use getImportedElement.
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.ui.explorer.rules.PerspectiveRule#getRuleName()
     */"
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.tigris.gef.graph.GraphModel#getOutEdges(java.lang.Object)
     */"
jruby-1.4.0,WITHOUT_CLASSIFICATION,// Default objects
apache-jmeter-2.10,DESIGN,"// TODO: I believe the following code (to the end of the method) is // obsolete, // since NamePanel no longer seems to be the GUI for any component:"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// remove the current element from insertions. It will be added back later.
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,"// if the renderer isn't assigned to a plot, then we don't have a // dataset..."
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// mainPanel.add(createFilenamePanel());
sql12,WITHOUT_CLASSIFICATION,// hold the state
columba-1.4-src,WITHOUT_CLASSIFICATION,"/*
	 * (non-Javadoc)
	 *
	 * @see org.columba.mail.folder.AbstractMessageFolder#save()
	 */"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// For an explicit many-to-many relationship, add a second join from the intermediate  // (many-to-many) table to the destination table.  Also, make sure that the from element's  // idea of the destination is the destination table."
columba-1.4-src,WITHOUT_CLASSIFICATION,// passive: if not initialized do it now
argouml,WITHOUT_CLASSIFICATION,// Register popup menu with toolbar.
columba-1.4-src,IMPLEMENTATION,// TODO: @author fdietz replace with regular expression
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// suppresses compiler warning
columba-1.4-src,WITHOUT_CLASSIFICATION,// which kind of mark?
columba-1.4-src,WITHOUT_CLASSIFICATION,// POP3s / IMAPs
columba-1.4-src,WITHOUT_CLASSIFICATION,// RRULE:FREQ=YEARLY;COUNT=5;INTERVAL=1 // RRULE:FREQ=WEEKLY;UNTIL=20060725T215959;INTERVAL=1;BYDAY=TU // RRULE:FREQ=YEARLY;INTERVAL=1
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,WITHOUT_CLASSIFICATION,// Write the profile out to a temp file
jEdit-4.2,WITHOUT_CLASSIFICATION,//buffer.readLock();
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// test a series with 1 item
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,WITHOUT_CLASSIFICATION,// If we're about to upgrade the file lets take an archive // of it first.
columba-1.4-src,WITHOUT_CLASSIFICATION,// --no-rebuild option is deprecated in recent SpamAssassin versions
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Use the OS launcher so we get environment variables
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ saveRegisters() method
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// prune away any files not belonging to the revision label // this is one ugly API from Starteam SDK
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,//i18n[ModifyDriverAction.error.selectingwindow=Error selecting window]
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// should not be able to reach last without maxPosition being set // unless there are no results
sql12,WITHOUT_CLASSIFICATION,"/*
	 * Operations for Text and in-cell work
	 */"
sql12,WITHOUT_CLASSIFICATION,//_constraintGraph.moveLastHitFoldingPointTo(point);
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see javax.swing.DefaultListModel#contains(java.lang.Object)
     */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getColumnName() method
sql12,WITHOUT_CLASSIFICATION,// Lock tab
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1126
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 454
argouml,WITHOUT_CLASSIFICATION,//////////////////////////////////////////////////////////////// // constants
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,// Operators
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jruby-1.4.0,WITHOUT_CLASSIFICATION,// try loading from classloader resources
columba-1.4-src,WITHOUT_CLASSIFICATION,// 
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,DESIGN,// TODO: There is a cyclic dependency between SelectionRerouteEdge // and FigEdgeModelElement
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.cognitive.Poster#expand(java.lang.String, ListSet)
     */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getIgnoreCase() method
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// File name/path match
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// create the canvas and add the required listeners
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//ignore
argouml,WITHOUT_CLASSIFICATION,// The vertex was dropped onto the diagram. // Get the region as the first Region in the StateMachine. // If there is no region in the StateMachine then create one.
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// setup for collecting optional entity info...
sql12,WITHOUT_CLASSIFICATION,// Open file output stream
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Needs to be volatile as may be referenced from multiple threads // TODO see if this can be made final somehow
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ browseDirectory() method
sql12,WITHOUT_CLASSIFICATION,// get the SQL session
jEdit-4.2,WITHOUT_CLASSIFICATION,//item.setImage(NSWorkspace.sharedWorkspace().iconForFile( //	buffs[i].getPath()));
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier ON
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$ //$NON-NLS-1$
sql12,WITHOUT_CLASSIFICATION,//		_tabbedResultsPanel = UIFactory.getInstance().createTabbedPane();
sql12,WITHOUT_CLASSIFICATION,// Combo box for read-all/read-part of blob
columba-1.4-src,WITHOUT_CLASSIFICATION,"// first, create bucket for each provider"
argouml,WITHOUT_CLASSIFICATION,"// If we drop out we didn't meet both criteria, and all is well."
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ closeAllBuffers() method
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// generate the certificate and store in output file
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1430
apache-jmeter-2.10,DESIGN,"/*
             * Provide dummy implementations to suppress download and display of
             * related resources: - FRAMEs - IMAGEs TODO create better dummy
             * displays TODO suppress LINK somehow
             */"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
argouml,WITHOUT_CLASSIFICATION,//////////////////////////////////////////////////////////////// // constants
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// check that the clone doesn't share the same underlying arrays.
apache-jmeter-2.10,DESIGN,// TODO only called by UserParameterXMLParser.getXMLParameters which is a deprecated class
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line number
emf-2.4.1,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,"// MIDDLE: check d1, d2 and d3"
sql12,WITHOUT_CLASSIFICATION,// Lazily create the event:
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Copy all the necessary out-of-date files
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//So long as the line isn't empty and isn't a comment...
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Generate test error
jruby-1.4.0,WITHOUT_CLASSIFICATION,// try optz version
sql12,WITHOUT_CLASSIFICATION,// is it installed?
sql12,WITHOUT_CLASSIFICATION,// Try to create a file in a directory that does not exist
sql12,WITHOUT_CLASSIFICATION,// i18n[exportconfig.xmlErrorWritingTo=XML Error writing to\n{0}]
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// N.B. Backslashes are removed before dollar, comma and backslash"
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see javax.swing.event.DocumentListener#removeUpdate(javax.swing.event.DocumentEvent)
     */"
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Not whitespace - fail
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// we are recreating the archive, need all resources"
emf-2.4.1,WITHOUT_CLASSIFICATION,"// Correct the index, if necessary. //"
sql12,WITHOUT_CLASSIFICATION,// load views with catalog = doi.getCatalog() and schema = doi.getSchema()
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.uml.cognitive.critics.CrUML#getCriticizedDesignMaterials()
     */"
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.ui.Clarifier#hit(int, int)
     */"
columba-1.4-src,WITHOUT_CLASSIFICATION,// ---- officeTextField ----
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// the first axis in the list is used for data <--> Java2D
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// initialize to empty string, this will fail the assertion"
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see javax.swing.tree.TreeModel#isLeaf(java.lang.Object)
     */"
argouml,DESIGN,// TODO: Reconfigure exception handling to distinguish between errors // that are possible due to bad input data and those that represent // unexpected processing errors.
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1383
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Add a class with no package 'Class'
jEdit-4.2,WITHOUT_CLASSIFICATION,"// // When the class is loaded, populate the hash table of // attribute types. //"
jEdit-4.2,WITHOUT_CLASSIFICATION,"// to minimise synchronization and stuff like that, we only // show a status message at most twice a second"
jEdit-4.2,WITHOUT_CLASSIFICATION,// // I/O information. // // current reader // current input stream // current line number // current column number // type of input source // stack of input soruces // current external entity // current character encoding. // how many bytes read from current source.
columba-1.4-src,WITHOUT_CLASSIFICATION,"/*
        * it's the script responsability to define the ""metadata"" by invoking
        * .setName(), .setAuthor() and .setDescription()
        */"
apache-jmeter-2.10,DESIGN,// HACK: force the controller to load its tree
emf-2.4.1,WITHOUT_CLASSIFICATION,"/*
   * Javadoc copied from interface.
   */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ StyleEditor constructor
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// Let return-propertys override whatever the persister has for aliases.
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// ignore
emf-2.4.1,WITHOUT_CLASSIFICATION,"/**
   * Calls <code>caseXXX</code> for each class of the model until one returns a non null result; it yields that result.
   * <!-- begin-user-doc -->
   * <!-- end-user-doc -->
   * @return the first non-null result returned by a <code>caseXXX</code> call.
   * @generated
   */"
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//do not use a FileResource b/c it pulls File info from the filesystem:
argouml,WITHOUT_CLASSIFICATION,// Only instantiate when we need it.
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
argouml,WITHOUT_CLASSIFICATION,"// needs to be updated for changes in Notation subsystem - tfm //            String nameStr = Notation.generate(this, getOwner()).trim(); //            getNameFig().setText(nameStr);"
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,/* Only calculate the descriptor name once */
argouml,WITHOUT_CLASSIFICATION,"/*
         * @see javax.swing.table.TableModel#getRowCount()
         */"
argouml,WITHOUT_CLASSIFICATION,//////////////////////////////////////////////////////////////// // constants
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,WITHOUT_CLASSIFICATION,// We have already confirmed the connection is valid
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// we do not actually propogate ANTLRExceptions as a cause, so // log it here for diagnostic purposes"
sql12,WITHOUT_CLASSIFICATION,// check to see if we hit the end of the file // without processing the current record
jEdit-4.2,WITHOUT_CLASSIFICATION,// Read string of digits
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// handle panning if we have a start point
sql12,WITHOUT_CLASSIFICATION,//Add begin
argouml,WITHOUT_CLASSIFICATION,"/*
     * Enable buttons when selection made.
     *
     * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)
     */"
sql12,WITHOUT_CLASSIFICATION,"// Testing two files, one with suffix "".tmp"" and one with null"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// aload 4 // load the raw bean
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// Resolve to an identity column.
emf-2.4.1,WITHOUT_CLASSIFICATION,// The termination guard is in the body. //
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ _save() method
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// need to look it up from the persistence-context
columba-1.4-src,WITHOUT_CLASSIFICATION,// add color selection to reference
emf-2.4.1,WITHOUT_CLASSIFICATION,// Don't push method annotations into redirected methods. //
emf-2.4.1,WITHOUT_CLASSIFICATION,// Sort and eliminate duplicates caused by having both a regular package and a demanded package for the same nsURI. //
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// This just tests that the function does not blow up
emf-2.4.1,WITHOUT_CLASSIFICATION,"// Userinfo can contain alphanumerics, mark characters, escaped // and ';',':','&','=','+','$',','"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// give the Interceptor a chance to process property values, if the properties // were modified by the Interceptor, we need to set them back to the object"
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// rangeCrosshairStroke
jEdit-4.2,DESIGN,// ConsoleInterface // The interpreter reflexively implements the console interface that it  // uses.  Should clean this up by using an inner class to implement the // console for us.
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,"// FIXME: add setBaseOutlineStroke(Stroke, boolean) ?"
sql12,WITHOUT_CLASSIFICATION,"/*
	 * The following is used in both cell and popup operations.
	 */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ setRegexp() method
sql12,WITHOUT_CLASSIFICATION,// i18n[editextras.hour=Hour]
jruby-1.4.0,WITHOUT_CLASSIFICATION,// load all arguments straight through
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,DESIGN,// TODO: The above doesn't work reliably in a constructor. // We need a better way of getting default fig settings  // for the owning project rather than using the  // project manager singleton. - tfm
columba-1.4-src,WITHOUT_CLASSIFICATION,// create stream from string
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ delayedUpdate() method
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// Create the color-change dialog
columba-1.4-src,WITHOUT_CLASSIFICATION,// no childs - we have a leaf view (i.e. with contents)
sql12,WITHOUT_CLASSIFICATION,// No exceptions during logging
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
argouml,WITHOUT_CLASSIFICATION,"/* TODO: Why is there a space before the ( here, 
         * and not in case of the operation name? */"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// collect EntityIdentifier(s) of the *current* elements - add them into a HashSet for fast access
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// 'outer' is optional and is ignored
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// find optimum height
emf-2.4.1,WITHOUT_CLASSIFICATION,/*0C80..0CFF;*/
jEdit-4.2,WITHOUT_CLASSIFICATION,/* do nothing */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"/* (non-Javadoc)
     * @see org.apache.jmeter.visualizers.request.RequestView#getLabel()
     */"
columba-1.4-src,WITHOUT_CLASSIFICATION,// get flags
argouml,WITHOUT_CLASSIFICATION,// determine if metaType is a valid element for container
columba-1.4-src,DESIGN,//TODO: Should this be renamed to cLoc or something more appropriate than clock?
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"//decide whether to copy the existing arg set, or //build a new one from the list of all args excluding the special //operations that only we handle"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// N.B. need to separate protocol from authority otherwise http://server would match https://erver // could use separate fields, but simpler to combine them"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getWordToComplete() method
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// the usual classloader
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// the user provided resulttransformer, not the one used with ""select new"". Here to avoid mangling // transformed/non-transformed results."
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//final int _ignored = 1;
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see java.lang.Throwable#printStackTrace()
     */"
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see javax.swing.DefaultListModel#addElement(java.lang.Object)
     */"
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.ui.explorer.rules.PerspectiveRule#getChildren(java.lang.Object)
     */"
argouml,IMPLEMENTATION,"/**
     * The constructor.
     * TODO: Why does this method not handle all settings?
     */"
argouml,DESIGN,"/* TODO: This is not according the contract for this function, but
             * it is used in several places, and I (MVW) presume that
             * we need this generally.
             * This part (1) is about drawing an <<import>> permission
             * between packages.
             * The part (2) below is about ModelManagement.ElementImport. */"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Thread-specific variables saved here to save recalculation
sql12,WITHOUT_CLASSIFICATION,// do nothing
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// this command will be executed only on the specified OS
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Not a .class file or the one we'd generate
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ ActionSet constructor
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// implicit target must be first on dependency list
emf-2.4.1,WITHOUT_CLASSIFICATION,// Create annotations // http:///org/eclipse/emf/ecore/util/ExtendedMetaData
columba-1.4-src,WITHOUT_CLASSIFICATION,"/* (non-Javadoc)
	 * @see org.columba.core.gui.themes.plugin.AbstractThemePlugin#setLookAndFeel()
	 */"
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,/*AbstractSshMessage*/
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1328
sql12,WITHOUT_CLASSIFICATION,// Impossible.
sql12,WITHOUT_CLASSIFICATION,// Can't paste from a session that is no longer around.
jruby-1.4.0,WITHOUT_CLASSIFICATION,// // Now read unbuffered directly from the file //
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// use Algorithm defined via name
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.uml.cognitive.critics.CrUML#getCriticizedDesignMaterials()
     */"
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Process the factory class
columba-1.4-src,WITHOUT_CLASSIFICATION,// overwrite this method
emf-2.4.1,WITHOUT_CLASSIFICATION,// Private constructor for use of static factory methods.
emf-2.4.1,WITHOUT_CLASSIFICATION,// Keep trying until all else false.
argouml,WITHOUT_CLASSIFICATION,// TODO: What?
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
argouml,WITHOUT_CLASSIFICATION,// size should be 1 since addition of second item would have been ignored
jruby-1.4.0,DESIGN,// This is a dummy scope; we should find a way to make that more explicit
argouml,IMPLEMENTATION,"// Apparently, this method is never called."
jruby-1.4.0,WITHOUT_CLASSIFICATION,// This while loop is for restarting the block call in case a 'redo' fires.
apache-jmeter-2.10,DESIGN,// TODO downcase UPPER case non-final variables
emf-2.4.1,WITHOUT_CLASSIFICATION,// ***** Really?
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see junit.framework.TestCase#setUp()
     */"
argouml,WITHOUT_CLASSIFICATION,"// The name of the meta type is the class name (after the last .) // and before the ""Impl"" or end of class name."
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// #3 - note that this is also true of ""datetime - :param""..."
sql12,WITHOUT_CLASSIFICATION,"/* map of existing DataType objects for each column.
	 * The key is the ColumnDisplayDefinition object, and the value
	 * is the DataTypeObject for that column's data type.
	 */"
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// otherwise no items left available, use the code for default"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// creation of the interpolation structure
jEdit-4.2,WITHOUT_CLASSIFICATION,// If this is a unary increment of decrement (either pre or postfix) // then we need an LHS to which to assign the result.  Otherwise // just do the unary operation for the value.
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
emf-2.4.1,DESIGN,"//DMS What if Eclipse is running, but an invalid facade has been specified?  We still should format code, use encoding,..."
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// template // match number // ALL separator
sql12,WITHOUT_CLASSIFICATION,// NOI18N
jEdit-4.2,DESIGN,// stupid Swing
argouml,DESIGN,"/**
     * Create an empty but initialized instance of a UML TemplateParameter.
     *
     * @return an initialized UML TemplateParameter instance.
     * TODO: This needs an extra parameter to specify the model/extent where
     * the new element should be created.
     */"
